Activity_Factor,Static_Power,Dynamic_Power,Short_ckt_Power,Total_Power
0.1,2.5248976456397857e-07,4.591827529688027e-07,2.4696537256549173e-07,9.58637890098273e-07
0.19444444444444445,2.5248976456397857e-07,8.928553529948941e-07,2.4696537256549173e-07,1.3923104901243645e-06
0.28888888888888886,2.5248976456397857e-07,1.3265279530209854e-06,2.4696537256549173e-07,1.8259830901504557e-06
0.3833333333333333,2.5248976456397857e-07,1.7602005530470767e-06,2.4696537256549173e-07,2.259655690176547e-06
0.47777777777777775,2.5248976456397857e-07,2.193873153073168e-06,2.4696537256549173e-07,2.6933282902026383e-06
0.5722222222222222,2.5248976456397857e-07,2.62754575309926e-06,2.4696537256549173e-07,3.12700089022873e-06
0.6666666666666666,2.5248976456397857e-07,3.061218353125351e-06,2.4696537256549173e-07,3.5606734902548212e-06
0.7611111111111111,2.5248976456397857e-07,3.494890953151442e-06,2.4696537256549173e-07,3.994346090280913e-06
0.8555555555555555,2.5248976456397857e-07,3.928563553177534e-06,2.4696537256549173e-07,4.428018690307004e-06
0.95,2.5248976456397857e-07,4.3622361532036255e-06,2.4696537256549173e-07,4.861691290333096e-06
