Activity_Factor,Static_Power,Dynamic_Power,Short_ckt_Power,Total_Power
0.1,3.008527058758313e-07,3.1149338688364737e-07,2.9495498821566435e-07,9.073010809751431e-07
0.19444444444444445,3.008527058758313e-07,6.056815856070921e-07,2.9495498821566435e-07,1.201489279698588e-06
0.28888888888888886,3.008527058758313e-07,8.998697843305367e-07,2.9495498821566435e-07,1.4956774784220322e-06
0.3833333333333333,3.008527058758313e-07,1.1940579830539813e-06,2.9495498821566435e-07,1.789865677145477e-06
0.47777777777777775,3.008527058758313e-07,1.4882461817774262e-06,2.9495498821566435e-07,2.0840538758689217e-06
0.5722222222222222,3.008527058758313e-07,1.7824343805008708e-06,2.9495498821566435e-07,2.3782420745923665e-06
0.6666666666666666,3.008527058758313e-07,2.0766225792243155e-06,2.9495498821566435e-07,2.672430273315811e-06
0.7611111111111111,3.008527058758313e-07,2.3708107779477603e-06,2.9495498821566435e-07,2.966618472039256e-06
0.8555555555555555,3.008527058758313e-07,2.664998976671205e-06,2.9495498821566435e-07,3.2608066707627007e-06
0.95,3.008527058758313e-07,2.9591871753946497e-06,2.9495498821566435e-07,3.5549948694861454e-06
